date	authors	isbn	title
February 2015	['Thilina Gunarathne']	9781783285471	Hadoop MapReduce v2 Cookbook, 2nd Edition
February 2015	['John Zablocki']	9781784394493	Couchbase Essentials
February 2015	['Amol Fasale', 'Nirmal Kumar']	9781784391737	YARN Essentials
February 2015	['Sumit Gupta']	9781783555178	Neo4j Essentials
February 2015	['Patrick Espake']	9781782173458	Learning Heroku Postgres
February 2015	['Betsy Page Sigman']	9781784398385	Splunk Essentials
February 2015	['Lillian Pierson']	9781118841556	Data Science For Dummies
February 2015	['Nick Pentreath']	9781783288519	Machine Learning with Spark
February 2015	['Michael Phillips']	9781782176404	TIBCO Spotfire – A Comprehensive Primer
February 2015	['Garry Turkington', 'Gabriele Modena']	9781783285518	Learning Hadoop 2
February 2015	['Judith Hurwitz', 'Marcia Kaufman', 'Adrian Bowles']	9781118896624	Cognitive Computing and Big Data Analytics
February 2015	['Christopher Ilacqua', 'Henric Cronstrom', 'James Richardson']	9781782173359	Learning Qlik® Sense: The Official Guide
January 2015	['Chitij Chauhan']	9781783555338	PostgreSQL Cookbook
January 2015	['Holden Karau', 'Andy Konwinski', 'Patrick  Wendell', 'Matei Zaharia']	0636920028512	Learning Spark
January 2015	['Rajesh Nadipalli']	9781784399429	HDInsight Essentials, 2nd Edition
January 2015	['Eric Rochester']	9781784390297	Clojure Data Analysis Cookbook, 2nd Edition
January 2015	['Melanie Swan']	0636920037040	Blockchain
January 2015	['Joe Kuan']	9781783287451	Learning Highcharts 4
January 2015	['Daniela Cristiana Docan']	9781783559503	ArcGIS for Desktop Cookbook
January 2015	['Kurt W. Smith']	0636920033431	Cython
January 2015	['Richard Brath', 'David Jonker']	9781118845844	Graph Analysis and Visualization
January 2015	['Adam Fowler']	9781118905746	NoSQL For Dummies
January 2015	['Jeff Sauro']	9781118937594	Customer Analytics For Dummies
January 2015	["O'Reilly Media", 'Inc.']	0636920036081	Big Data Now: 2014 Edition
January 2015	['DJ Patil', 'Hilary Mason']	0636920037293	Data Driven
December 2014	['Rahul Malewar']	9781782176480	Learning Informatica PowerCenter 9.x
December 2014	['Erik Westra']	9781783984664	Building Mapping Applications with QGIS
December 2014	['Robbie Strickland']	9781783989126	Cassandra High Availability
December 2014	['Thomas Newton', 'Oscar Villarreal']	9781783985609	Learning D3.js Mapping
December 2014	['Sandeep Karanth']	9781783983643	Mastering Hadoop
December 2014	['Amarpreet Singh Bassan', 'Debarchan Sarkar']	9781849688949	Mastering SQL Server 2014 Data Mining
December 2014	['Mark Kerzner', 'Sujee Maniyam']	9781783981045	HBase Design Patterns
December 2014	['C. Y. Kan']	9781783988884	Cassandra Data Modeling and Analysis
December 2014	['EMC Education Services']	9781118876138	Data Science and Big Data Analytics
December 2014	['Tim Menzies', 'Ekrem Kocaguneli', 'Burak Turhan', 'Leandro Minku', 'Fayola Peters']	9780124172951	Sharing Data and Models in Software Engineering
December 2014	['James Miller']	9781782173830	Mastering Splunk
December 2014	['Alistair Croll']	0636920037163	Data: Emerging Trends and Technologies
December 2014	['Jeanne Boyarsky', 'Scott Selikoff']	9781118957400	OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide
December 2014	['Erik Siegel', 'Adam Retter']	0636920026525	eXist
December 2014	['Jason Williamson']	9781118903407	Getting a Big Data Job For Dummies
December 2014	['Regina O. Obe', 'Leo S. Hsu']	0636920032144	PostgreSQL: Up and Running, 2nd Edition
December 2014	['Yun Yang', 'Wenhao Li', 'Dong Yuan']	9780128025727	Reliability Assurance of Big Data in the Cloud
December 2014	['Joe Celko']	9780128007617	Joe Celko's SQL for Smarties, 5th Edition
December 2014	['Anita Graser']	9781784392031	Learning QGIS, 2nd Edition
December 2014	['Andreas M.  Antonopoulos']	0636920032281	Mastering Bitcoin
December 2014	['CAP Matthew Windham']	9781612909042	Introduction to Regular Expressions in SAS
December 2014	['SAS Institute']	9781629593548	SAS Certification Prep Guide, 4th Edition
December 2014	['Iain L. J. Brown Ph.D']	9781612906911	Developing Credit Risk Models Using SAS Enterprise Miner and SAS/STAT
December 2014	['Derek P. Morgan']	9781629590660	The Essential Guide to SAS Dates and Times, Second Edition, 2nd Edition
December 2014	['Curt Hinrichs', 'Chuck Boiler']	9781612907857	JMP Essentials, 2nd Edition
December 2014	['EdD Ron Cody', 'Jeffrey Smith']	9781612909240	Test Scoring and Analysis Using SAS
November 2014	['Amol Nayak']	9781782161943	MongoDB Cookbook
November 2014	['Breck Baldwin', 'Krishna Dayanidhi']	9781783284672	Natural Language Processing with Java and LingPipe Cookbook
November 2014	['Stefano Iacovella']	9781783289615	GeoServer Cookbook
November 2014	['Vijay Kotu', 'Bala Deshpande']	9780128014608	Predictive Analytics and Data Mining
November 2014	['W. H. Inmon', 'Dan Linstedt']	9780128020449	Data Architecture: A Primer for the Data Scientist
November 2014	['Stephen Redmond']	9781782173298	Mastering QlikView
November 2014	['Shashwat Shriparv']	9781783985944	Learning HBase
November 2014	['Scott  Jarr']	0636920035312	Fast Data and the New Enterprise Data Architecture
November 2014	['Colin Henderson']	9781783287697	Mastering GeoServer
November 2014	['Mark Talabis', 'Robert S. McPherson', 'I Miyamoto', 'Jason Martin']	9780128002070	Information Security Analytics
November 2014	['Alan Simon']	9780128015407	Enterprise Business Intelligence and Data Warehousing
November 2014	['Olivier Cur\xc3\xa9', 'Guillaume Blin']	9780127999579	RDF Database Systems
November 2014	['Goutam Chakraborty', 'Murali Pagolu', 'Satish Garla']	9781612905518	Text Mining and Analysis
November 2014	['L. Felipe Martins']	9781783988341	IPython Notebook Essentials
November 2014	['Mike Barlow']	0636920035374	Innovation, Security, and Compliance in a World of Big Data
November 2014	['Ted Dunning', 'Ellen Friedman']	0636920035435	Time Series Databases: New Ways to Store and Access Data
November 2014	['Nishant Garg']	9781783987245	HBase Essentials
November 2014	['Jon Raasch', 'Graham Murray', 'Vadim Ogievetsky', 'Joseph W. Lowery']	9781118847060	JavaScript and jQuery for Data Analysis and Visualization
November 2014	['John King', 'Roger Magoulas']	0636920036449	2014 Data Science Salary Survey
November 2014	['Krish Krishnan', 'Shawn B. Rogers']	9780123971869	Social Data Analytics
November 2014	['Piyanka Jain', 'Puneet Sharma']	9780814449219	Behind Every Good Decision
November 2014	['Rick Sherman']	9780124114616	Business Intelligence Guidebook
November 2014	['Trent Hauck']	9781783989485	scikit-learn Cookbook
October 2014	['Bilal Shahid']	9781783983964	Highcharts Essentials
October 2014	['Josh Diakun', 'Paul F. Johnson', 'Derek Mock']	9781849697842	Splunk Operational Intelligence Cookbook
October 2014	['Amarkant Singh', 'Vijay Rayapati']	9781782173434	Learning Big Data with Amazon Elastic MapReduce
October 2014	['Gavin Hackeling']	9781783988365	Mastering Machine Learning with scikit-learn
October 2014	['Ivan Idris']	9781783553358	Python Data Analysis
October 2014	['Jaynal Abedin', 'Hrishi V. Mittal']	9781783988785	R Graphs Cookbook, 2nd Edition
October 2014	['Sudhi Sinha']	9781783000982	Making Big Data Work for Your Business
October 2014	['Hans-Jurgen Schonig']	9781783988983	PostgreSQL Administration Essentials
October 2014	['Alexandre Borges']	9781849688260	Oracle Solaris 11 Advanced Administration Cookbook
October 2014	['Paula Ladenburg Land']	9781937434397	Content Audits and Inventories
October 2014	['Craig Dickstein', 'Renu Gehring']	9781612908861	Administrative Healthcare Data
September 2014	['Zach Gemignani', 'Chris Gemignani', 'Richard Galentino', 'Patrick Schuermann']	9781118851012	Data Fluency
September 2014	['Matthew Kirk']	0636920032298	Thoughtful Machine Learning
September 2014	['John Russell']	0636920033936	Getting Started with Impala
September 2014	['Nazmus Saquib']	9781783282999	Mathematica Data Visualization
September 2014	['Jeroen Janssens']	0636920032823	Data Science at the Command Line
September 2014	['Vivek Acharya']	9781849689021	Oracle BPM Suite 12c Modeling Patterns
September 2014	['Enda Ridge']	9780128002186	Guerrilla Analytics
September 2014	['Tony Ojeda', 'Sean Murphy', 'Benjamin Bengfort', 'Abhijit Dasgupta']	9781783980246	Practical Data Science Cookbook
September 2014	['Cyrille Rossant']	9781783284818	IPython Interactive Computing and Visualization Cookbook
September 2014	['Taha M. Mahmoud']	9781782170907	Creating Universes with SAP BusinessObjects
September 2014	['Pierre MAVRO']	9781783981601	MariaDB High Performance
September 2014	['Arun Chinnachamy']	9781783286713	Redis Applied Design Patterns
September 2014	['Jay Kreps']	0636920034339	I Heart Logs
September 2014	['Uchit Vyas', 'Prabhakaran Kuppusamy']	9781783551897	DynamoDB Applied Design Patterns
September 2014	['Hari Shreedharan']	0636920030348	Using Flume
September 2014	['Martin Kleppmann']	0636920032175	Designing Data-Intensive Applications
September 2014	['Meta S. Brown']	9781118893173	Data Mining For Dummies
August 2014	['Alan Simon']	9780128015391	Modern Enterprise Business Intelligence and Data Management
August 2014	['Adam Jorgensen', 'Bradley Ball', 'Steven Wort', 'Ross LoForte', 'Brian Knight']	9781118859131	Professional Microsoft SQL Server 2014 Administration
August 2014	['Scott Gottreu']	9781783981168	Learning jqPlot
August 2014	['Yoav Yahav']	9781782172437	SAP BusinessObjects Reporting Cookbook
August 2014	['Ankit Jain', 'Anand Nalya']	9781783981328	Learning Storm
August 2014	['Tanmay Deshpande']	9781783551958	Mastering DynamoDB
August 2014	['Chad Adams']	9781783553334	Learning Python Data Visualization
August 2014	['Rik Van Bruggen']	9781849517164	Learning Neo4j
August 2014	['Pablo Navarro Castillo']	9781783286270	Mastering D3.js
August 2014	['Tom Johnston']	9780124080676	Bitemporal Data
August 2014	['Ted Dunning', 'Ellen Friedman']	0636920033172	Practical Machine Learning: Innovations in Recommendation
August 2014	['C. J. Date', 'Hugh Darwen', 'Nikos Lorentzos']	9780128006313	Time and Relational Theory, 2nd Edition
August 2014	['Sergey Popov']	9781782170563	Applied SOA Patterns on the Oracle Platform
August 2014	['Robert G. Freeman', 'Charles A. Pack']	9781118644072	OCP: Oracle Database 12c Administrator Certified Professional Study Guide
July 2014	['Paul DuBois']	0636920032274	MySQL Cookbook, 3rd Edition
July 2014	['Hrishikesh Vijay Karambelkar']	9781783981748	Scaling Apache Solr
July 2014	['Basit A. Masood-Al-Farooq']	9781782172550	SQL Server 2014 Development Essentials
July 2014	['Afshin Mehrabani']	9781783986729	MongoDB High Availability
July 2014	['Ted Dunning', 'Ellen Friedman']	0636920034650	Practical Machine Learning: A New Look at Anomaly Detection
July 2014	['Rohit Menon']	9781783558964	Cloudera Administration Handbook
